Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
25	12.702509	2.418074	18.961828	5.6678557	105.1	37.005272	178.0	35.0	1000.0	71483.0	0.0916448717948718	1.3877373	0.60312444	3.0062494	-0.35660812	9.24575	5.229546	36.750023	-3.337209	-5.9604646e-09	-0.00064894283	-2.3841858e-08	0.00044934676	0.16564743	-0.029371863	29.503418	-8.654773	0	0	1.0	1.638312	0.004888193	780000	649.7247416973114
26	12.66355	3.541436	18.026243	5.7984734	82.25	28.400484	136.0	29.0	1000.0	73913.0	0.09125061728395062	1.4066528	0.57485336	2.9367847	-0.34334245	9.222288	5.408561	32.703995	-3.7882478	0.0	-0.00078400073	-2.8312206e-08	0.0019781245	0.17986837	-0.039697398	27.697723	-8.555505	0	0	1.0	1.6378044	0.004045737	810000	671.7251553535461
27	13.906894	3.1228526	21.347008	7.8154907	74.45	32.114597	131.0	20.0	1000.0	76128.0	0.09062857142857143	1.4701374	0.5871299	3.2071772	-0.43571436	8.180299	4.5339165	29.944641	-0.8976431	-5.9604646e-09	0.0061576786	4.7683717e-08	0.0003454717	0.19619837	-0.0460924	24.128302	-6.9863715	0	0	1.0	1.6375465	0.0164716	840000	693.7035400867462
28	14.097394	2.2042842	18.07723	9.882143	87.0	43.734425	161.0	4.0	1000.0	78588.0	0.09033103448275862	1.4892995	0.563668	2.5341766	-0.45158607	8.664105	5.0859904	35.32213	-2.1752815	7.450581e-09	0.00085170957	1.1920929e-08	-0.0032099627	0.16416088	-0.040690552	29.337475	-8.170056	0	0	1.0	1.6373501	0.0072198985	870000	716.1984598636627
29	14.133886	3.2311842	19.865408	8.414311	96.75	23.960123	148.0	55.0	1000.0	81471.0	0.09052333333333333	1.4566529	0.58410805	2.4915457	-0.6321726	8.939485	4.959046	29.009182	-0.5618492	0.0	0.0025769519	1.4901161e-08	-0.0018153072	0.20016785	-0.042442836	27.941296	-10.315786	0	0	1.0	1.6370449	0.012509063	900000	742.126692533493
30	13.024168	3.4167292	18.585653	6.672344	98.75	31.147833	166.0	44.0	1000.0	84302.0	0.09064731182795699	1.3909662	0.62062883	2.831652	-0.58184767	9.247358	5.3018045	36.426334	-2.3779514	2.9802323e-09	-3.4015065e-05	-2.9802323e-09	0.00029123528	0.18458216	-0.043960106	29.20351	-10.500008	0	0	1.0	1.6368545	0.0032890781	930000	768.660965681076
31	13.979059	3.201667	18.690687	8.335871	84.7	28.36036	142.0	30.0	1000.0	86960.0	0.09058333333333334	1.3818412	0.55227065	2.7104435	-0.37023577	9.226063	5.308705	36.490482	-1.946503	0.0	-0.0011635562	-5.9604645e-08	0.0008078579	0.19431904	-0.059635747	31.637074	-11.380722	0	0	1.0	1.6369789	0.0018670533	960000	794.2577636241913
32	15.0638	3.708385	25.614801	8.165411	93.6	26.775736	158.0	44.0	1000.0	89772.0	0.09067878787878787	1.5752107	0.5744918	2.6954968	-0.4327814	9.899735	5.5484138	36.53098	-0.024110086	7.450581e-09	-0.0010396	-2.9802322e-08	-0.0006909395	0.2150774	-0.050285626	30.575314	-12.391985	0	0	1.0	1.6369307	0.0011680608	990000	819.200389623642
33	14.801905	2.879124	20.262165	9.417547	85.15	42.12039	205.0	31.0	1000.0	92231.0	0.09042254901960785	1.552992	0.5978922	2.7801285	-0.18469186	9.137466	5.1099877	33.603832	-1.6604494	2.9802323e-09	-0.0008033879	-2.9802323e-09	0.0028543645	0.20525081	-0.04199212	28.132324	-11.696055	0	0	1.0	1.6366848	0.004072403	1020000	844.2673985958099
34	14.232712	3.237251	21.162313	7.75017	84.45	34.805855	144.0	38.0	1000.0	94541.0	0.09003904761904762	1.5456111	0.5584289	2.764198	-0.21821812	8.472404	5.3599224	34.752537	-4.587454	-1.4901161e-09	-0.0008187158	2.3841858e-08	0.0012000632	0.15552755	-0.03634002	26.229633	-10.939309	0	0	1.0	1.6363285	0.00059286307	1050000	868.9961156845093
35	15.489367	2.6644602	21.482924	10.796771	94.0	33.09683	153.0	23.0	1000.0	97321.0	0.09011203703703703	1.6232558	0.60139734	3.018653	-0.2449025	8.828501	5.366508	33.042557	-2.9568038	0.0	-0.0013250967	-4.7683717e-08	0.00025523378	0.20549634	-0.044877283	28.710821	-12.690705	0	0	1.0	1.6358963	0.0029637252	1080000	893.7511291503906
36	16.217113	2.74163	21.441124	11.040872	85.3	22.088684	132.0	52.0	1000.0	99991.0	0.09008198198198199	1.5973852	0.57329017	2.7060702	-0.3349935	9.860304	5.3398986	34.935284	-1.387978	-1.3411045e-08	-0.0015724208	-5.9604646e-09	0.0005518321	0.17634776	-0.040129617	26.363483	-11.165819	0	0	1.0	1.6352924	0.0014507285	1110000	918.1971685886383
37	15.467506	2.4829488	19.847752	9.490565	81.45	35.90052	159.0	27.0	1000.0	102575.0	0.0899780701754386	1.5666462	0.5783232	3.0832126	-0.30281603	9.431453	4.8723965	35.144623	-0.6933125	-6.7055224e-09	-0.00012095214	2.3841858e-08	0.000109532106	0.15732786	-0.035292506	29.539072	-12.6151705	0	0	1.0	1.6347615	0.0021563214	1140000	943.1401987075806
38	15.308294	2.8989158	19.819336	10.014976	81.2	37.227142	171.0	29.0	1000.0	105016.0	0.08975726495726495	1.5575019	0.5482555	2.762963	-0.14269978	8.419867	5.3543997	36.30226	-3.6487703	-4.4703485e-09	-0.0011262833	5.9604646e-09	0.00074214506	0.16802388	-0.03594591	25.901617	-11.561419	0	0	1.0	1.634177	0.0010775161	1170000	968.8719048500061
39	16.821762	3.337626	23.912563	11.648041	84.6	32.24655	174.0	19.0	1000.0	107536.0	0.08961333333333334	1.6512573	0.5483593	2.77623	-0.58293134	8.75776	5.302474	33.561417	-2.495946	-5.9604646e-09	-0.0010013876	-1.6391278e-08	0.00070845877	0.17325741	-0.03887358	29.856506	-13.22436	0	0	1.0	1.6334865	0.001220849	1200000	994.3291628360748
40	16.361221	3.3655913	22.795431	9.773598	85.2	31.173067	133.0	31.0	1000.0	110161.0	0.08956178861788618	1.6713814	0.56032324	2.9755332	-0.27986035	9.025437	5.1667995	37.124794	-2.872981	-5.9604646e-09	-0.00089139433	0.0	-0.0011107558	0.20675509	-0.051086508	27.828455	-13.313116	0	0	1.0	1.6327633	0.0009744332	1230000	1020.814555644989
41	15.90831	3.4331563	22.197914	9.464935	82.45	32.017925	193.0	37.0	1000.0	112596.0	0.08936190476190477	1.6754878	0.5624585	2.835557	-0.63710564	8.840036	5.153805	32.33075	-2.2546673	0.0	-0.007775606	-1.1920929e-08	0.0013529698	0.15906772	-0.04231753	27.800882	-13.494303	0	0	79.0	1.6319462	0.005437895	1260000	1053.718427181244
42	17.86265	3.472141	25.811356	12.138963	91.45	24.826345	130.0	41.0	1000.0	115221.0	0.08931860465116279	1.7296745	0.5052382	2.8627253	-0.2626106	8.986872	5.426578	39.74423	-3.9687576	-7.4505807e-10	-0.00097654166	-7.152558e-08	-0.0013309828	0.21442732	-0.054721665	27.015356	-13.491226	0	0	6.0	1.6123775	0.000686369	1290000	1079.2930891513824
